Local_Date_Time,RIC,Price,Volume
2021-07-20,ADBE.O,608.72,286080
2021-07-21,ADBE.O,612.26,184476
2021-07-22,ADBE.O,623.68,124849
2021-07-23,ADBE.O,625.87,189727
2021-07-26,ADBE.O,620.8,140677
2021-07-27,ADBE.O,618.28,175469
2021-07-28,ADBE.O,620.92,160060
2021-07-29,ADBE.O,621.7,102998
2021-07-30,ADBE.O,621.63,202186
2021-08-02,ADBE.O,618.75,128294
2021-08-03,ADBE.O,621.28,118069
2021-08-04,ADBE.O,625.68,198484
2021-08-05,ADBE.O,632.08,90502
2021-08-06,ADBE.O,631.38,169153
2021-08-09,ADBE.O,629.22,88179
2021-08-10,ADBE.O,621.74,290090
2021-08-11,ADBE.O,626.03,127401
2021-08-12,ADBE.O,634.35,113073
2021-08-13,ADBE.O,637.31,130868
2021-08-16,ADBE.O,636.94,97707
2021-08-17,ADBE.O,635.01,257071
2021-08-18,ADBE.O,626.77,163803
2021-08-19,ADBE.O,637.66,186680
2021-08-20,ADBE.O,647.34,260580
2021-08-23,ADBE.O,656.86,155955
2021-08-24,ADBE.O,657.24,104745
2021-08-25,ADBE.O,656.8,111311
2021-08-26,ADBE.O,652.39,113509
2021-08-27,ADBE.O,658.52,184742
2021-08-30,ADBE.O,665.99,135195
2021-08-31,ADBE.O,663.7,366674
2021-09-01,ADBE.O,665.89,153597
2020-09-01,ADI.O,118.76,227124
2020-09-02,ADI.O,121.83,409439
2020-09-03,ADI.O,117.12,611954
2020-09-04,ADI.O,117.44,258927
2020-09-08,ADI.O,112.93,630575
2020-09-09,ADI.O,115.46,417460
2020-09-10,ADI.O,114.27,278437
2020-09-11,ADI.O,113.8,177803
2020-09-14,ADI.O,114.62,379249
2020-09-15,ADI.O,116.06,192538
2020-09-16,ADI.O,115.56,227065
2020-09-17,ADI.O,115.49,302334
2020-09-18,ADI.O,114.91,939099
2020-09-21,ADI.O,113.93,663642
2020-09-22,ADI.O,114.7,209501
2020-09-23,ADI.O,112.5,442255
2020-09-24,ADI.O,112.68,172100
2020-09-25,ADI.O,113.48,263339
2020-09-28,ADI.O,117.06,338466
2020-09-29,ADI.O,116.65,190469
2020-09-30,ADI.O,116.74,419079
2020-10-01,ADI.O,118.99,289574
2020-10-02,ADI.O,114.01,351526
2020-10-05,ADI.O,116.6,382915
2020-10-06,ADI.O,115.54,281698
2020-10-07,ADI.O,118.67,313324
2020-10-08,ADI.O,120.34,258318
2020-10-09,ADI.O,123.33,345447
2020-10-12,ADI.O,126.11,432732
2020-10-13,ADI.O,123.59,231531
2020-10-14,ADI.O,123.04,155591
2020-10-15,ADI.O,123.98,194580
2020-10-16,ADI.O,123.64,246592
2020-10-19,ADI.O,122.61,395875
2020-10-20,ADI.O,123.62,316443
2020-10-21,ADI.O,124.76,355817
2020-10-22,ADI.O,124.75,137317
2020-10-23,ADI.O,124.2,131091
2020-10-26,ADI.O,121.13,293118
2020-10-27,ADI.O,120.29,478827
2020-10-28,ADI.O,116.47,464367
2020-10-29,ADI.O,118.48,395164
2020-10-30,ADI.O,118.53,514836
2020-11-02,ADI.O,118.48,179156
2020-11-03,ADI.O,119.75,284811
2020-11-04,ADI.O,125.94,451335
2020-11-05,ADI.O,130.4,369861
2020-11-06,ADI.O,133.5,286700
2020-11-09,ADI.O,135.82,339617
2020-11-10,ADI.O,134.78,355013
2020-11-11,ADI.O,137.38,301911
2020-11-12,ADI.O,135.48,192215
2020-11-13,ADI.O,136.27,280766
2020-11-16,ADI.O,138.01,347906
2020-11-17,ADI.O,135.87,341826
2020-11-18,ADI.O,133.23,228040
2020-11-19,ADI.O,136.17,306778
2020-11-20,ADI.O,134.88,314409
2020-11-23,ADI.O,137.07,273306
2020-11-24,ADI.O,136.89,326641
2020-11-25,ADI.O,135.95,216582
2020-11-27,ADI.O,137.75,107759
2020-11-30,ADI.O,139.08,547473
2020-12-01,ADI.O,140.73,269273
2020-12-02,ADI.O,140.66,463739
2020-12-03,ADI.O,139.75,339642
2020-12-04,ADI.O,143.97,259694
2020-12-07,ADI.O,143.71,226219
2020-12-08,ADI.O,146.13,226376
2020-12-09,ADI.O,141.78,383942
2020-12-10,ADI.O,141.28,264060
2020-12-11,ADI.O,141.15,613816
2020-12-14,ADI.O,142.33,599615
2020-12-15,ADI.O,144.06,555197
2020-12-16,ADI.O,142.8,248690
2020-12-17,ADI.O,143.78,346959
2020-12-18,ADI.O,144.56,1488781
2020-12-21,ADI.O,142.59,587370
2020-12-22,ADI.O,144.28,364342
2020-12-23,ADI.O,143.22,537724
2020-12-24,ADI.O,144.47,65813
2020-12-28,ADI.O,144.68,314048
2020-12-29,ADI.O,143.66,174316
2020-12-30,ADI.O,146.18,179923
2020-12-31,ADI.O,147.73,289906
2021-01-04,ADI.O,146.02,417462
2021-01-05,ADI.O,148.63,243966
2021-01-06,ADI.O,149.3,373472
2021-01-07,ADI.O,155.61,440523
2021-01-08,ADI.O,156.74,466654
2021-01-11,ADI.O,158.3,247647
2021-01-12,ADI.O,159.09,344952
2021-01-13,ADI.O,158.48,278147
2021-01-14,ADI.O,159.46,262019
2021-01-15,ADI.O,157.75,331713
2021-01-19,ADI.O,160.54,622367
2021-01-20,ADI.O,159.83,512562
2021-01-21,ADI.O,159.29,360015
2021-01-22,ADI.O,155.58,348633
2021-01-25,ADI.O,153.72,623215
2021-01-26,ADI.O,154.94,239952
2021-01-27,ADI.O,147.48,472402
2021-01-28,ADI.O,149.21,491171
2021-01-29,ADI.O,147.33,507454
2021-02-01,ADI.O,151.88,358815
2021-02-02,ADI.O,151.87,347007
2021-02-03,ADI.O,147.58,303689
2021-02-04,ADI.O,150.52,259744
2021-02-05,ADI.O,148.76,306729
2021-02-08,ADI.O,153.2,313032
2021-02-09,ADI.O,152.85,185950
2021-02-10,ADI.O,153.23,112760
2021-02-11,ADI.O,158.8,747659
2021-02-12,ADI.O,160.78,431426
2021-02-16,ADI.O,160.49,308448
2021-02-17,ADI.O,159.75,604165
2021-02-18,ADI.O,158.09,296469
2021-02-19,ADI.O,163.8,301729
2021-02-22,ADI.O,159.24,585785
2021-02-23,ADI.O,157.7,300319
2021-02-24,ADI.O,161.76,398108
2021-02-25,ADI.O,153.68,481838
2021-02-26,ADI.O,155.82,1181171
2021-03-01,ADI.O,158.59,373887
2021-03-02,ADI.O,154.29,368880
2021-03-03,ADI.O,149.94,357147
2021-03-04,ADI.O,144.52,471089
2021-03-05,ADI.O,148.88,499184
2021-03-08,ADI.O,144.06,480734
2021-03-09,ADI.O,149.43,592274
2021-03-10,ADI.O,147.11,186406
2021-03-11,ADI.O,151.03,551125
2021-03-12,ADI.O,149.54,903852
2021-03-15,ADI.O,151.0,326898
2021-03-16,ADI.O,153.08,262519
2021-03-17,ADI.O,154.16,879865
2021-03-18,ADI.O,149.45,1299391
2021-03-19,ADI.O,151.91,1818846
2021-03-22,ADI.O,154.5,887592
2021-03-23,ADI.O,150.49,607385
2021-03-24,ADI.O,150.44,319420
2021-03-25,ADI.O,149.9,249284
2021-03-26,ADI.O,157.11,494394
2021-03-29,ADI.O,153.85,360774
2021-03-30,ADI.O,152.61,353973
2021-03-31,ADI.O,155.08,683047
2021-04-01,ADI.O,160.38,343766
2021-04-05,ADI.O,163.49,355520
2021-04-06,ADI.O,161.71,338858
2021-04-07,ADI.O,159.45,198263
